antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'rolls/buns'}),frozenset({'detergent'}),0.11000467820624206,0.008621265788946068,0.0010024727661565194,0.00911300121506683,1.0570374975274803,1.0,5.4093197313023734e-05,1.0004962578242764,0.0606292708567996,0.008522727272727274,0.0004960116746019254,0.06269603549125434
frozenset({'detergent'}),frozenset({'rolls/buns'}),0.008621265788946068,0.11000467820624206,0.0010024727661565194,0.11627906976744186,1.0570374975274803,1.0,5.4093197313023734e-05,1.0070999693981997,0.05442901442631794,0.008522727272727274,0.007049915215906931,0.06269603549125434
frozenset({'butter'}),frozenset({'frankfurter'}),0.03522020985096572,0.037759807525228894,0.001403461872619127,0.039848197343453504,1.0553072156638847,1.0,7.355352764849095e-05,1.0021750621229335,0.05432186728944831,0.0196078431372549,0.002170341495353162,0.03850816946818693
frozenset({'frankfurter'}),frozenset({'butter'}),0.037759807525228894,0.03522020985096572,0.001403461872619127,0.03716814159292035,1.0553072156638847,1.0,7.355352764849095e-05,1.002023127636405,0.05446523657386274,0.0196078431372549,0.0020190428550060425,0.03850816946818693
frozenset({'hygiene articles'}),frozenset({'root vegetables'}),0.013700461137472432,0.06957160997126245,0.0010024727661565194,0.07317073170731708,1.0517326210726086,1.0,4.930962747384869e-05,1.0038832629257433,0.049871256267786934,0.012185215272136474,0.003868241526834179,0.04378997680466719
frozenset({'root vegetables'}),frozenset({'hygiene articles'}),0.06957160997126245,0.013700461137472432,0.0010024727661565194,0.01440922190201729,1.0517326210726083,1.0,4.930962747384869e-05,1.0007191227640264,0.05286596753340035,0.012185215272136474,0.0007186059980949129,0.04378997680466719
frozenset({'curd'}),frozenset({'frankfurter'}),0.03368308494285905,0.037759807525228894,0.0013366303548753592,0.03968253968253969,1.0509200730439672,1.0,6.476355057706594e-05,1.0020021838993485,0.05014178020610013,0.01906577693040992,0.001998183169179149,0.037540384885517634
frozenset({'frankfurter'}),frozenset({'curd'}),0.037759807525228894,0.03368308494285905,0.0013366303548753592,0.03539823008849558,1.0509200730439672,1.0,6.476355057706594e-05,1.0017780862518983,0.05035421586331447,0.01906577693040992,0.0017749302727823105,0.037540384885517634
frozenset({'other vegetables'}),frozenset({'pot plants'}),0.12210118291786407,0.007819287576020852,0.0010024727661565194,0.008210180623973728,1.0499908775770845,1.0,4.772850354941552e-05,1.000394128917555,0.05423264311814859,0.007776049766718508,0.0003939736411504029,0.06820765441455096
frozenset({'pot plants'}),frozenset({'other vegetables'}),0.007819287576020852,0.12210118291786407,0.0010024727661565194,0.1282051282051282,1.0499908775770843,1.0,4.772850354941552e-05,1.007001584300097,0.04798598949211908,0.007776049766718508,0.006952902963865192,0.06820765441455096
frozenset({'butter'}),frozenset({'bottled beer'}),0.03522020985096572,0.04531176903027468,0.001670787943594199,0.04743833017077799,1.0469317615713143,1.0,7.489792962943548e-05,1.0022324655797714,0.04646439456913265,0.0211864406779661,0.002227492778813512,0.042155743256480444
frozenset({'bottled beer'}),frozenset({'butter'}),0.04531176903027468,0.03522020985096572,0.001670787943594199,0.03687315634218289,1.046931761571314,1.0,7.489792962943548e-05,1.0017162292818458,0.04695554777738879,0.0211864406779661,0.0017132888852925026,0.042155743256480444
frozenset({'frozen meals'}),frozenset({'other vegetables'}),0.016774710953685757,0.12210118291786407,0.002138608567800575,0.12749003984063748,1.0441343547539457,1.0,9.039651725029248e-05,1.0061762698064662,0.04298999116367612,0.015640273704789834,0.006138357653430157,0.07250254591922405
frozenset({'other vegetables'}),frozenset({'frozen meals'}),0.12210118291786407,0.016774710953685757,0.002138608567800575,0.01751505199781062,1.0441343547539454,1.0,9.039651725029248e-05,1.0007535393245772,0.0481477428440928,0.015640273704789834,0.0007529719306172043,0.07250254591922405
frozenset({'whipped/sour cream'}),frozenset({'chicken'}),0.043707812604424245,0.027868742899151238,0.0012697988371315912,0.0290519877675841,1.0424577768977479,1.0,5.1717044974609926e-05,1.0012186490455985,0.04259005189961411,0.01806083650190114,0.0012171657477217715,0.03730776846412778
frozenset({'chicken'}),frozenset({'whipped/sour cream'}),0.027868742899151238,0.043707812604424245,0.0012697988371315912,0.045563549160671464,1.0424577768977479,1.0,5.1717044974609926e-05,1.001944326994862,0.04189612626368611,0.01806083650190114,0.001940553923483621,0.03730776846412778
frozenset({'ice cream'}),frozenset({'rolls/buns'}),0.015170754527835327,0.11000467820624206,0.0017376194613379669,0.11453744493392069,1.0412052178288307,1.0,6.876549135755201e-05,1.0051190947621047,0.0401841643698321,0.014076881429344884,0.005093023094259622,0.0651666568533516
frozenset({'rolls/buns'}),frozenset({'ice cream'}),0.11000467820624206,0.015170754527835327,0.0017376194613379669,0.015795868772782502,1.0412052178288307,1.0,6.876549135755201e-05,1.0006351469427055,0.044466009322959056,0.014076881429344884,0.0006347437871297895,0.0651666568533516
frozenset({'other vegetables'}),frozenset({'meat'}),0.12210118291786407,0.016841542471429525,0.002138608567800575,0.01751505199781062,1.0399909644573029,1.0,8.223630987758222e-05,1.0006855163814474,0.04380138550548137,0.01563263312164143,0.0006850467706641501,0.07224958949096881
frozenset({'meat'}),frozenset({'other vegetables'}),0.016841542471429525,0.12210118291786407,0.002138608567800575,0.126984126984127,1.0399909644573029,1.0,8.223630987758222e-05,1.005593190475901,0.03911188906260643,0.01563263312164143,0.005562080699108737,0.07224958949096881
frozenset({'root vegetables'}),frozenset({'waffles'}),0.06957160997126245,0.018512330415023724,0.0013366303548753592,0.019212295869356386,1.0378107692894571,1.0,4.86977235821895e-05,1.0007136768246427,0.03915744864243639,0.015408320493066256,0.0007131678532738406,0.045707230967169166
frozenset({'waffles'}),frozenset({'root vegetables'}),0.018512330415023724,0.06957160997126245,0.0013366303548753592,0.07220216606498195,1.0378107692894571,1.0,4.86977235821895e-05,1.0028352686301958,0.03712038676290341,0.015408320493066256,0.0028272526095621912,0.045707230967169166
frozenset({'citrus fruit'}),frozenset({'butter'}),0.05313105660629553,0.03522020985096572,0.0019381140145692708,0.03647798742138365,1.0357118136359837,1.0,6.682705129200384e-05,1.0013053957813083,0.036415233941470726,0.022428460943542148,0.0013036939447328543,0.04575322520974305
frozenset({'butter'}),frozenset({'citrus fruit'}),0.03522020985096572,0.05313105660629553,0.0019381140145692708,0.05502846299810246,1.0357118136359837,1.0,6.682705129200384e-05,1.0020078979286793,0.035739196071124774,0.022428460943542148,0.0020038743535154657,0.04575322520974305
frozenset({'hard cheese'}),frozenset({'rolls/buns'}),0.01470293390362895,0.11000467820624206,0.001670787943594199,0.11363636363636365,1.0330139180382194,1.0,5.3396430837849814e-05,1.0040972861262911,0.0324357322118972,0.013579576317218903,0.004080566876241594,0.06441234949740418
